100 150
2 1 38
3 2 18
4 1 83
5 4 31
6 3 10
7 6 64
8 1 9
9 8 18
10 3 11
11 7 15
12 7 100
13 1 57
14 2 50
15 3 1
16 5 83
17 5 80
18 2 40
19 1 24
20 12 7
21 20 92
22 20 70
23 20 32
24 3 34
25 5 52
26 8 84
27 4 87
28 5 69
29 5 29
30 26 55
31 19 29
32 15 37
33 31 28
34 17 80
35 24 98
36 6 95
37 8 88
38 31 75
39 16 78
40 22 16
41 1 71
42 13 82
43 24 88
44 15 6
45 29 60
46 37 48
47 25 33
48 18 44
49 11 13
50 15 85
51 34 68
52 1 55
53 41 8
54 37 14
55 38 35
56 31 16
57 36 39
58 11 42
59 32 34
60 57 72
61 22 44
62 26 27
63 19 11
64 51 2
65 30 87
66 45 74
67 34 55
68 50 95
69 17 100
70 41 86
71 20 36
72 61 57
73 16 60
74 37 62
75 43 58
76 27 56
77 65 4
78 3 70
79 39 86
80 10 95
81 46 55
82 73 5
83 66 42
84 68 97
85 25 81
86 30 97
87 14 89
88 26 97
89 37 65
90 39 89
91 39 24
92 24 73
93 45 11
94 66 18
95 54 16
96 78 94
97 1 93
98 72 80
99 60 42
100 85 25
4 12 32
53 35 61
76 67 32
1 14 34
29 45 33
99 50 46
96 100 16
14 81 20
94 15 39
12 66 34
84 20 75
55 90 23
92 56 42
94 69 79
24 36 24
3 37 44
59 44 28
71 46 79
53 23 40
58 51 93
81 88 94
24 38 90
91 35 76
53 23 5
58 28 31
68 59 84
29 94 54
76 94 8
4 93 65
90 76 34
13 7 49
34 36 44
9 78 58
73 17 58
80 79 51
48 72 21
52 94 30
29 50 21
55 25 69
10 78 43
25 10 92
36 100 57
99 44 59
33 79 63
15 17 46
53 37 81
70 97 38
27 47 39
10 4 25
52 64 12
16 66 82
